#X              #Y
20        0
19.9211        1.25333
19.6858        2.4869
19.2978        3.68125
18.7631        4.81754
18.0902        5.87785
17.2897        6.84547
16.3742        7.70513
15.3583        8.44328
14.2578        9.04827
13.0902        9.51057
11.8738        9.82287
10.6279        9.98027
9.37209        9.98027
8.12619        9.82287
6.90983        9.51057
5.74221        9.04827
4.64173        8.44328
3.62576        7.70513
2.71031        6.84547
1.90983        5.87785
1.23693        4.81754
0.702235        3.68125
0.314168        2.4869
0.078853        1.25333
