#pos_x    #pos_y
5       5
4       8
2       7
3       11
7       11
3       5
8       7
7       5
8       10
9       8
1       4
2       14
10       9
10       12
10       5
1       3
0       4
0       14
7       14
9       15
4       16
12       11
11       4
12       9
12       13
3       14
10       16
11       2
13       8
12       3
6       16
14       10
4       18
14       9
6       19
7       19
15       11
5       20
10       0
15       7
1       20
15       16
16       11
8       20
15       2
9       16
16       10
6       20
9       20
16       6
13       20
16       4
17       10
17       7
17       5
5       23
19       13
19       8
4       25
5       24
21       7
1       25
4       26
16       16
21       2
22       15
7       27
23       14
11       26
23       15
7       28
24       7
6       29
24       16
23       1
24       14
24       17
24       10
24       12
21       18
0       29
8       30
10       28
24       5
26       8
25       1
22       18
26       6
25       4
5       31
22       19
10       31
27       17
0       31
20       13
27       15
22       20
27       7
7       33
27       20
11       30
23       21
28       11
4       33
28       12
29       15
8       34
29       16
29       2
28       22
29       0
13       34
22       23
1       35
10       35
26       23
30       1
2       35
30       4
31       17
25       24
28       24
1       36
14       28
31       19
31       1
10       37
30       24
22       25
14       36
7       38
10       38
30       25
31       20
1       37
21       26
28       20
13       36
8       39
9       39
34       20
17       32
13       31
34       5
35       16
33       23
13       39
7       40
33       26
19       27
2       40
22       24
18       29
17       38
36       18
17       39
12       41
33       24
35       6
2       41
13       40
36       17
22       29
11       42
18       34
34       26
35       7
0       42
37       15
35       27
3       42
37       18
36       14
20       33
29       30
20       31
37       4
19       38
19       36
35       29
20       40
19       41
34       9
38       8
9       44
1       44
36       5
4       44
15       44
36       12
25       31
37       29
33       10
39       4
40       17
0       44
22       32
30       32
11       45
40       18
30       30
26       30
4       45
17       42
16       44
39       9
24       33
38       29
5       45
20       43
20       38
23       35
37       11
29       33
36       32
41       20
6       45
0       46
39       11
32       10
38       31
40       8
17       43
14       46
17       46
40       1
39       8
38       27
23       43
40       11
26       34
11       47
6       47
41       8
43       18
21       45
7       47
42       6
22       45
27       35
42       7
13       48
40       27
43       20
40       9
37       34
17       48
41       12
25       43
25       38
35       33
43       2
9       49
15       49
43       9
39       23
45       20
30       37
20       48
45       21
25       46
38       36
7       50
43       24
42       29
41       25
13       50
42       25
19       50
41       24
45       4
22       49
30       39
23       49
26       46
28       39
14       52
41       35
25       49
22       50
45       25
14       53
17       52
20       52
39       39
13       53
11       53
28       48
48       3
28       49
24       51
30       41
48       5
29       48
17       53
4       53
47       26
12       54
47       7
49       1
47       27
30       47
50       20
39       41
8       55
44       37
34       42
32       43
48       27
47       28
28       52
19       55
48       6
21       54
20       55
2       52
24       54
35       41
2       53
7       54
49       6
51       2
48       29
26       54
49       9
52       21
20       56
27       54
2       55
42       36
49       5
46       38
35       44
21       56
50       8
30       53
29       54
50       9
53       21
33       46
1       54
49       30
50       5
53       22
48       11
51       26
46       31
45       34
9       59
50       30
45       37
34       49
46       34
47       31
34       47
52       5
48       12
4       56
43       44
37       46
47       12
38       46
45       33
31       55
44       43
55       22
47       32
50       32
52       8
49       11
28       57
45       32
36       47
44       36
52       7
52       19
52       6
53       25
51       21
49       36
19       60
45       44
47       42
4       59
8       59
51       6
55       25
53       7
22       55
23       60
53       17
47       34
54       27
12       60
3       60
51       14
57       23
37       48
34       56
54       29
49       34
18       61
50       15
55       27
57       20
47       44
36       53
40       49
43       46
54       30
48       14
54       11
7       63
30       60
58       22
55       11
24       62
39       50
56       3
57       27
51       36
43       47
56       29
58       26
52       16
16       61
56       31
43       48
40       51
16       62
51       43
56       10
2       63
26       63
53       15
8       60
52       40
9       61
37       58
32       61
42       51
49       47
53       13
20       65
58       2
50       43
58       5
16       64
19       61
27       64
58       12
58       19
38       59
11       65
55       8
38       53
59       5
8       67
58       9
53       45
57       8
62       21
56       15
33       63
23       66
50       49
58       8
59       13
41       54
61       26
60       5
58       34
51       49
51       38
28       60
59       9
60       1
45       52
35       62
33       64
23       67
57       35
13       66
60       3
63       20
27       67
22       67
61       6
1       67
63       27
55       45
52       50
56       41
30       65
36       55
46       52
57       17
33       65
10       68
63       28
61       2
29       67
52       39
61       0
58       3
37       62
60       15
7       65
35       65
46       54
53       36
13       68
57       41
15       68
49       50
20       67
30       68
40       63
8       68
6       70
62       12
56       48
65       21
62       15
41       63
53       52
60       37
61       36
62       16
63       0
57       44
63       3
45       54
6       71
62       35
59       38
64       23
8       69
61       17
65       25
50       53
62       36
16       68
57       49
64       0
16       70
34       68
66       29
58       47
64       1
35       68
13       71
26       71
2       71
64       13
64       16
57       45
32       70
46       57
19       70
11       72
38       67
42       65
24       72
60       40
15       71
60       43
12       72
23       68
65       16
68       28
23       69
29       71
64       36
5       73
50       56
32       68
42       66
44       64
10       71
33       71
44       62
66       1
59       51
62       40
60       46
66       5
59       45
66       0
8       74
66       6
27       73
16       73
34       72
40       66
43       63
19       73
38       70
54       57
58       53
30       73
52       57
43       68
61       51
62       48
29       73
67       15
46       63
13       75
66       39
63       42
68       3
3       75
70       24
67       35
42       68
15       75
68       7
67       8
21       75
26       76
63       43
8       76
68       4
27       76
63       45
36       74
31       75
49       60
52       60
61       43
71       34
69       14
32       75
10       77
56       59
69       23
45       70
70       3
14       77
69       35
48       62
11       77
30       76
65       43
27       77
64       45
69       13
73       27
70       7
65       44
62       42
26       77
64       52
32       76
71       0
35       76
64       51
49       62
48       66
66       8
16       77
46       71
71       7
65       51
66       44
24       77
65       46
40       74
16       78
2       78
29       78
72       0
41       74
64       48
69       11
73       22
18       78
54       62
71       13
46       72
49       64
66       46
26       79
59       59
5       79
17       79
70       17
57       62
36       78
74       33
75       25
12       80
7       80
72       20
35       78
8       80
50       68
73       20
18       79
53       64
17       80
14       80
48       68
45       71
74       24
75       36
12       81
58       63
44       74
37       79
2       81
73       14
35       79
72       19
51       68
49       70
69       41
74       6
51       66
69       46
60       61
51       69
18       81
75       20
54       65
44       76
24       81
69       52
38       80
41       78
77       24
57       64
11       82
65       57
29       81
28       82
62       58
76       2
16       82
62       62
46       75
38       81
76       6
67       56
14       83
70       48
9       83
75       13
42       79
51       72
75       27
77       22
54       60
40       80
38       82
11       84
74       17
79       27
60       66
36       82
71       53
76       13
71       44
78       20
4       84
72       42
71       51
64       61
79       28
7       84
61       66
66       59
77       8
30       83
79       29
76       40
67       59
71       47
74       14
78       3
17       84
3       85
30       84
79       22
79       38
21       84
66       60
72       54
76       10
44       80
72       52
72       55
74       41
73       44
31       84
75       12
60       67
79       1
54       73
21       85
72       46
26       85
81       28
29       82
49       77
47       80
81       26
79       0
73       52
28       84
65       65
79       20
32       81
72       51
6       86
63       63
53       75
12       87
75       42
32       85
79       14
63       65
74       55
74       50
6       87
31       86
64       68
63       69
51       76
58       69
74       51
79       11
75       45
57       68
75       54
24       86
82       21
80       11
83       29
70       62
79       43
82       40
81       41
52       76
51       78
11       88
82       33
71       60
77       44
77       0
80       13
69       63
63       66
55       76
80       43
70       63
57       72
56       76
31       87
14       89
83       41
58       70
28       88
83       36
83       2
83       34
82       16
5       90
84       21
84       37
47       84
8       89
72       59
62       71
83       35
85       29
52       78
60       68
20       89
60       71
53       78
15       89
23       89
83       1
34       88
83       4
30       87
81       44
77       51
52       80
7       90
56       73
78       46
82       14
77       52
53       80
8       90
77       58
84       3
81       6
67       70
66       71
82       9
60       72
36       87
83       12
83       10
4       91
48       83
86       25
73       64
84       43
84       5
54       80
16       91
3       90
85       35
74       62
30       90
84       17
54       81
82       8
33       85
63       73
66       73
80       47
32       90
85       2
85       18
83       8
15       92
84       13
59       78
55       80
34       89
53       82
5       92
86       42
82       6
79       50
31       90
87       28
87       26
85       4
36       86
26       91
61       74
79       54
85       13
76       61
19       92
56       80
27       92
8       93
38       89
84       46
80       50
85       12
44       86
86       17
32       91
56       82
86       15
84       33
87       41
88       24
56       83
34       91
20       92
45       88
85       46
86       11
88       20
88       36
23       93
60       80
88       23
89       30
84       9
87       25
61       80
44       88
81       49
10       94
81       57
40       88
37       91
64       76
87       17
88       19
89       26
57       80
87       45
52       87
61       76
16       95
47       87
34       93
62       79
66       76
28       94
72       71
71       74
87       14
32       93
21       94
85       48
77       59
30       93
87       12
40       91
89       21
87       15
8       95
12       94
59       79
74       69
43       89
19       94
28       95
41       90
53       88
78       66
90       30
89       34
9       96
29       95
30       94
89       0
76       69
2       96
83       55
89       43
62       82
61       78
42       89
60       82
90       35
11       96
90       36
64       78
91       27
90       20
51       89
64       80
88       9
90       34
24       96
59       86
65       79
83       54
89       7
43       91
39       94
90       39
11       97
55       89
1       97
12       97
91       20
90       16
89       48
86       51
91       18
41       94
33       96
68       79
29       97
48       92
77       71
90       47
63       84
91       43
49       92
46       93
90       15
61       84
92       24
93       31
91       44
44       91
67       80
0       95
92       38
31       97
76       72
72       78
85       53
77       72
81       68
84       58
63       85
65       83
66       82
69       80
42       95
49       93
39       96
87       52
10       99
64       85
82       67
62       85
91       48
11       99
91       8
68       81
88       52
94       32
93       36
60       89
57       91
87       53
90       50
87       56
51       93
94       26
93       19
93       17
92       48
68       82
3       100
15       96
63       86
65       84
63       87
92       16
56       93
94       33
94       25
92       49
61       86
69       82
83       66
94       28
92       4
91       7
92       6
15       95
7       100
92       9
93       41
58       92
79       74
81       72
42       97
66       83
0       100
94       40
73       81
84       68
94       1
53       94
94       20
21       100
75       80
92       12
94       18
36       99
96       33
62       91
90       48
71       83
93       7
86       61
91       52
34       100
90       54
85       66
87       60
78       76
95       44
64       89
22       99
94       6
77       77
81       75
83       73
94       50
94       5
90       55
96       40
81       76
95       48
97       35
96       20
54       96
77       81
86       67
57       96
97       25
77       79
41       100
