#pos_x    #pos_y
85    95
86    94

86    95
82    98
86    95
82    93
86    95
88    96
86    95
88    97
86    95
84    92
86    95
85    91
86    95
87    91
86    95
89    92
86    95
88    100

86    94
82    93
86    94
85    95

86    94
88    96
86    94
84    92
86    94
87    91
86    94
85    91
86    94
83    92
86    94
88    97
86    94
89    92
86    94
84    92

86    98
88    96
86    98
88    97
86    98
88    100
86    98
91    100

88    96
86    94
88    96
86    95
88    96
86    98
88    96
90    99
88    96
89    92
88    96
86    100
88    96
91    100

84    92
79    93
84    92
86    89
84    92
85    91
84    92
86    95
84    92
82    93
84    92
86    94
84    92
87    91
84    92
85    89

84    92
86    94
84    92
82    93
84    92
85    91
84    92
85    89
84    92
87    91

83    92
78    90
83    92
84    90
83    92
86    94
83    92
79    93
83    92
85    91
83    92
82    93

88    97
86    94
88    97
86    95
88    97
86    98
88    97
90    99
88    97
86    100
88    97
91    100

82    93
78    90
82    93
79    96
82    93
83    92
82    93
84    92
82    93
84    90
82    93
85    91
82    93
86    94
82    93
86    95
82    93
84    92

85    91
84    90
85    91
86    94
85    91
86    89
85    91
84    92
85    91
83    92
85    91
87    90
85    91
87    89
85    91
82    93
85    91
86    95
85    91
84    92
85    91
89    92

82    98
79    93
82    98
83    99
82    98
80    99
82    98
79    99
82    98
79    96
82    98
78    99
82    98
86    100
82    98
78    96
82    98
86    95

87    91
84    90
87    91
86    94
87    91
86    89
87    91
86    95
87    91
84    92
87    91
84    92
87    91
88    88
87    91
89    92
87    91
85    89

83    99
82    98
83    99
79    96
83    99
86    100
83    99
88    100

89    92
92    88
89    92
86    94
89    92
88    96
89    92
87    90
89    92
86    95
89    92
87    91
89    92
90    90
89    92
87    89
89    92
88    88
89    92
85    91

84    90
85    91
84    90
85    89
84    90
86    89
84    90
83    92
84    90
87    91
84    90
87    89
84    90
82    93
84    90
79    93

86    100
82    98
86    100
88    96
86    100
88    97
86    100
83    99
86    100
90    99

87    90
88    87
87    90
86    89
87    90
85    91
87    90
88    88
87    90
85    89
87    90
89    92
87    90
91    87

88    100
90    99
88    100
86    98
88    100
83    99
88    100
93    99
88    100
86    95
88    100
93    97

85    89
88    87
85    89
87    90
85    89
84    92
85    89
87    91

85    89
84    90
85    89
84    92
85    89
88    88

86    89
88    87
86    89
84    90
86    89
88    85
86    89
87    90
86    89
87    91
86    89
88    88
86    89
85    91
86    89
84    92

79    96
82    98
79    96
80    99
79    96
78    99
79    96
82    93
79    96
83    99
79    96
77    91

79    93
78    90
79    93
77    91
79    93
78    96
79    93
83    92
79    93
84    92
79    93
74    90
79    93
82    98
79    93
84    90
79    93
78    99

87    89
88    87
87    89
84    90
87    89
88    85
87    89
85    91
87    89
91    87
87    89
88    88
87    89
91    86
87    89
89    92

80    99
82    98
80    99
79    96
80    99
73    100

90    99
88    96
90    99
88    97
90    99
86    100
90    99
88    100
90    99
91    100
90    99
95    98

78    96
79    93
78    96
82    98
78    96
79    99
78    96
73    100

90    90
88    87
90    90
92    88
90    90
91    87
90    90
88    88
90    90
91    86
90    90
89    92

79    99
74    96
79    99
82    98
79    99
78    96
79    99
73    100

88    88
86    89
88    88
91    87
88    88
87    90
88    88
87    89
88    88
90    90
88    88
85    89
88    88
87    91
88    88
91    86
88    88
89    92

91    100
88    97
91    100
90    99
91    100
93    99
91    100
93    97
91    100
95    98
91    100
93    96
91    100
88    96
91    100
86    98

93    96
94    95
93    96
97    93
93    96
91    100
93    96
95    98

78    99
74    96
78    99
82    98
78    99
79    96
78    99
73    100
78    99
79    93

93    97
99    98
93    97
100    99
93    97
88    100
93    97
94    95
93    97
91    100
93    97
95    98

88    87
87    89
88    87
86    89
88    87
87    90
88    87
91    86
88    87
85    89
88    87
90    90
88    87
92    88
88    87
86    83

78    90
77    91
78    90
79    93
78    90
77    87
78    90
82    93
78    90
83    92
78    90
73    87

93    99
99    98
93    99
88    100
93    99
94    95
93    99
91    100
93    99
95    98

77    91
78    90
77    91
79    93
77    91
79    96

94    95
99    98
94    95
100    99
94    95
93    96
94    95
95    93
94    95
93    97
94    95
95    92
94    95
95    98
94    95
97    93
94    95
96    98
94    95
93    99

94    91
92    88
94    91
91    87
94    91
97    93

92    88
91    87
92    88
91    86
92    88
90    90
92    88
94    91
92    88
88    87
92    88
95    92
92    88
89    92
92    88
88    85
92    88
97    86

91    87
92    88
91    87
88    85
91    87
92    86
91    87
90    90
91    87
88    88
91    87
89    83
91    87
87    89
91    87
94    91
91    87
87    90

95    93
100    94
95    93
99    91
95    93
94    95

95    92
92    88
95    92
100    94
95    92
99    91
95    92
94    95
95    92
97    93

88    85
83    83
88    85
92    88
88    85
89    83
88    85
86    83
88    85
91    86
88    85
91    87
88    85
92    86
88    85
87    89
88    85
86    89
88    85
90    81

95    98
100    99
95    98
94    95
95    98
91    100
95    98
93    99
95    98
93    97
95    98
93    96
95    98
90    99

91    86
88    87
91    86
92    88
91    86
88    85
91    86
90    81
91    86
89    83
91    86
88    88
91    86
90    90
91    86
87    89

74    96
70    99
74    96
73    99
74    96
73    100
74    96
70    93
74    96
78    99
74    96
69    93
74    96
79    99
74    96
70    99

83    84
78    85
83    84
82    83
83    84
86    83

77    87
78    90
77    87
73    85
77    87
75    84
77    87
78    85
77    87
73    84
77    87
73    85

92    86
97    85
92    86
88    85
92    86
97    84
92    86
91    87

96    98
100    94
96    98
100    99
96    98
94    95

86    83
85    79
86    83
88    85
86    83
88    79
86    83
90    81
86    83
83    84
86    83
84    80
86    83
88    87

74    90
72    89
74    90
79    93
74    90
73    87

97    93
100    94
97    93
100    99
97    93
99    87

97    93
99    98
97    93
99    91
97    93
94    95
97    93
95    92
97    93
99    92
97    93
100    94
97    93
94    91
97    93
99    89
97    93
93    96

83    83
84    80
83    83
79    84
83    83
80    80
83    83
85    79
83    83
88    85
83    83
78    85

78    85
83    83
78    85
75    84
78    85
79    84
78    85
77    87
78    85
82    83
78    85
73    84
78    85
83    84

82    83
78    85
82    83
83    84
82    83
79    84
82    83
80    80
82    83
84    80
82    83
85    79
82    83
78    80

82    83
85    79

79    84
83    83
79    84
78    85
79    84
76    80
79    84
82    83

73    99
74    96

89    83
92    80
89    83
88    85
89    83
88    79
89    83
91    87
89    83
92    81
89    83
90    81
89    83
91    86

73    100
70    99
73    100
68    99
73    100
74    96
73    100
79    99
73    100
70    99
73    100
78    99
73    100
68    97
73    100
78    96
73    100
80    99

99    92
100    94
99    92
100    99
99    92
97    93

99    98
100    94
99    98
100    99
99    98
97    93
99    98
94    95
99    98
93    97
99    98
93    99

72    89
70    90
72    89
69    90
72    89
70    87
72    89
73    85
72    89
74    90
72    89
73    87
72    89
70    86
72    89
68    91
72    89
70    93
72    89
73    85

73    87
78    90
73    87
75    84
73    87
72    89
73    87
74    90
73    87
70    86
73    87
70    90

99    91
100    94
99    91
97    93
99    91
95    92
99    91
95    93
99    91
97    86

75    84
73    85
75    84
78    85
75    84
77    87
75    84
73    87
75    84
76    80
75    84
78    80
75    84
70    82
75    84
70    86
75    84
73    85

90    81
86    77
90    81
92    80
90    81
88    85
90    81
88    79
90    81
89    83
90    81
86    83
90    81
93    77
90    81
95    82
90    81
91    86

97    86
99    87
97    86
99    91
97    86
100    85
97    86
99    89
97    86
95    82
97    86
92    88

84    80
83    83
84    80
85    79
84    80
82    77
84    80
86    77
84    80
88    79
84    80
82    83
84    80
86    83

100    94
99    92
100    94
99    91
100    94
97    93
100    94
99    98
100    94
99    89
100    94
95    93
100    94
95    92
100    94
96    98
100    94
97    93

70    93
69    90
70    93
68    97
70    93
74    96
70    93
72    89

99    89
100    94
99    89
97    85
99    89
97    84
99    89
97    86
99    89
97    93

70    99
68    97
70    99
73    100
70    99
66    97
70    99
74    96
70    99
66    96
70    99
65    97

100    99
99    98
100    99
96    98
100    99
95    98
100    99
97    93
100    99
99    92
100    99
94    95
100    99
93    97

70    99
66    97
70    99
68    97
70    99
73    100
70    99
74    96
70    99
66    96
70    99
65    97

97    85
99    87
97    85
95    82
97    85
99    89
97    85
100    81
97    85
92    86
97    85
99    80

73    85
75    84
73    85
70    86
73    85
70    87
73    85
72    89
73    85
70    82
73    85
77    87

73    85
70    87
73    85
75    84
73    85
70    86
73    85
72    89
73    85
70    82
73    85
77    87

92    81
88    79
92    81
95    82
92    81
89    83
92    81
93    77
92    81
90    77
92    81
96    78
92    81
95    77

80    80
83    83
80    80
85    79
80    80
82    77
80    80
82    83

70    90
72    89
70    90
68    91
70    90
68    92
70    90
69    93
70    90
66    91
70    90
73    87

85    79
83    83
85    79
84    80
85    79
86    77
85    79
86    76
85    79
82    77
85    79
86    83
85    79
82    83
85    79
80    80
85    79
82    83

69    93
70    90
69    93
66    96
69    93
68    99
69    93
68    97
69    93
74    96

99    87
97    85
99    87
97    84
99    87
100    85
99    87
97    86
99    87
100    81
99    87
97    93
99    87
97    81

97    84
95    82
97    84
100    85
97    84
99    87
97    84
100    81
97    84
99    80
97    84
99    89
97    84
92    86

73    84
70    87
73    84
78    85
73    84
70    86
73    84
70    82
73    84
76    80
73    84
77    87

88    79
86    77
88    79
92    80
88    79
90    81
88    79
90    77
88    79
86    76
88    79
89    83
88    79
84    80
88    79
86    83
88    79
92    81

95    82
92    80
95    82
97    85
95    82
97    81
95    82
97    84
95    82
96    78
95    82
92    81
95    82
90    81
95    82
97    86

78    80
75    84
78    80
75    78
78    80
74    78
78    80
80    77
78    80
82    83

92    80
90    81
92    80
93    77
92    80
90    77
92    80
95    82
92    80
88    79
92    80
95    77
92    80
89    83
92    80
96    78
92    80
97    81

69    90
68    91
69    90
68    92
69    90
66    91
69    90
70    87
69    90
72    89
69    90
70    93
69    90
67    93
69    90
70    86

70    87
69    90
70    87
72    89
70    87
68    84
70    87
67    85
70    87
73    85
70    87
73    84
70    87
73    85

68    97
70    99
68    97
66    96
68    97
69    93
68    97
67    93
68    97
66    93
68    97
70    93
68    97
70    99
68    97
73    100

68    92
70    90
68    92
69    90
68    92
66    93
68    92
66    96
68    92
67    93

68    91
70    90
68    91
69    90
68    91
66    93
68    91
72    89
68    91
67    93

68    99
66    97
68    99
66    96
68    99
65    97
68    99
73    100
68    99
69    93
68    99
67    93

70    86
69    90
70    86
67    85
70    86
73    85
70    86
75    84
70    86
72    89
70    86
73    84
70    86
73    87
70    86
73    85

76    80
75    84
76    80
73    84
76    80
75    78
76    80
74    78
76    80
78    78
76    80
75    77
76    80
80    77
76    80
79    84

86    77
85    79
86    77
88    79
86    77
87    74
86    77
84    80
86    77
90    81

100    85
97    81
100    85
97    84
100    85
99    87
100    85
97    86

67    93
69    90
67    93
66    97
67    93
66    96
67    93
68    99
67    93
68    97
67    93
68    92
67    93
68    91
67    93
66    91

82    77
85    79
82    77
80    75
82    77
84    80
82    77
80    80
82    77
78    78
82    77
86    76
82    77
81    73
82    77
78    75

78    78
82    77
78    78
76    76
78    78
76    75
78    78
76    80
78    78
80    77

97    81
92    80
97    81
99    80
97    81
95    82
97    81
96    78
97    81
95    77
97    81
100    85
97    81
99    87

90    77
92    80
90    77
88    79
90    77
92    81

80    77
78    75
80    77
81    73
80    77
78    74
80    77
76    80
80    77
78    78
80    77
78    80
80    77
76    76

86    76
85    79
86    76
82    77
86    76
88    79

66    96
70    99
66    96
65    97
66    96
68    97
66    96
67    93
66    96
68    99
66    96
64    93
66    96
69    93
66    96
68    92
66    96
62    94
66    96
70    99

66    97
68    99
66    97
67    93
66    97
64    93
66    97
70    99
66    97
62    94
66    97
70    99

66    93
68    92
66    93
68    91
66    93
63    91
66    93
68    97
66    93
62    94

66    91
70    90
66    91
69    90
66    91
67    93
66    91
64    89

93    77
92    72
93    77
92    80
93    77
96    78
93    77
97    76
93    77
92    81
93    77
90    81

75    78
76    76
75    78
76    80
75    78
76    75
75    78
78    80
75    78
71    79
75    78
78    75

70    82
68    81
70    82
67    85
70    82
73    85
70    82
75    84
70    82
73    84
70    82
68    84
70    82
71    79
70    82
67    81
70    82
68    79
70    82
73    85

65    97
70    99
65    97
66    96
65    97
68    99
65    97
62    94
65    97
70    99

68    84
70    87
68    84
67    85
68    84
70    82
68    84
66    82

96    78
97    75
96    78
100    76
96    78
92    80
96    78
97    81
96    78
95    77
96    78
97    76
96    78
93    77
96    78
99    80
96    78
95    82
96    78
92    81

74    78
76    76
74    78
76    75
74    78
75    77
74    78
76    80
74    78
71    79
74    78
78    80
74    78
70    76

100    81
97    85
100    81
97    84
100    81
99    87

99    80
100    76
99    80
97    85
99    80
97    81
99    80
97    84
99    80
96    78

67    85
70    87
67    85
68    81
67    85
68    84
67    85
65    84
67    85
70    86
67    85
66    82
67    85
70    82
67    85
63    87
67    85
65    84
67    85
63    83

95    77
97    75
95    77
100    76
95    77
92    80
95    77
97    81
95    77
96    74
95    77
96    78
95    77
97    76
95    77
92    81

75    77
78    75
75    77
76    76
75    77
74    73
75    77
76    75
75    77
74    78
75    77
76    80

80    75
82    77
80    75
81    73
80    75
78    74

76    76
78    75
76    76
75    77
76    76
75    78
76    76
74    78
76    76
78    78
76    76
78    74
76    76
74    73
76    76
80    77

64    93
66    97
64    93
66    96
64    93
61    91
64    93
62    94
64    93
63    91

87    74
86    77
87    74
86    71

78    75
76    76
78    75
80    77
78    75
80    73
78    75
76    72
78    75
75    77
78    75
81    73
78    75
82    77
78    75
75    78

71    79
70    78
71    79
69    76
71    79
68    81
71    79
69    76
71    79
70    82
71    79
75    78
71    79
74    78

64    89
61    88
64    89
62    88
64    89
61    91
64    89
63    87
64    89
61    88
